85 = "Cwlen"						#Köln					|21.07.18 Cwrwi	Added			
89 = "Picardi"						#Picardie				|20.07.18 Cwrwi	changed from "Picardeye			
90 = "Fflandrys"					#Vlaanderen				|20.07.18 Cwrwi	Changed first letter from F to Ff			
94 = "Lwcsembwrg"					#Luxemburg				|21.07.18 Cwrwi	Added			
112	= "Fenis"						#Venezia				|21.07.18 Cwrwi	Added			
116	= "Fflorens"					#Firenze				|21.07.18 Cwrwi	Added			
118	= "Rhufain"						#Roma					|21.07.18 Cwrwi	Added			
129	= "Dwyrain Slofenia"			#Krain					|21.07.18 Cwrwi	Added			
130	= "Y Driest"					#Istria					|21.07.18 Cwrwi	Added			
147	= "Thessaloníci"				#Thessaly				|21.07.18 Cwrwi	Added			
151	= "Caergystennin"				#Constantinople			|21.07.18 Cwrwi	Added			
163	= "Creta"						#Crete					|21.07.18 Cwrwi	Added			
167	= "Norddmandi Uchaf"			#Caux					|21.07.18 Cwrwi	Added			
168	= "Norddmandi Isaf"				#Caen					|21.07.18 Cwrwi	Added			
169	= "Rhusan"						#Rennes					|21.07.18 Cwrwi	Added- Cambrification of Breton Roazhon- no source			
170	= "Pen-ar-Bed"					#Finistere				|21.07.18 Cwrwi	Added			
171	= "Gwened"						#Morbihan				|21.07.18 Cwrwi	Added			
172	= "Nawned"						#Nantes					|21.07.18 Cwrwi	Added- Cambrification of Breton Naoned- no source			
174	= "Gasgwyn"						#Gascogne				|20.07.18 Cwrwi	Checked												
192	= "Bwrwgyn"						#Bourgogne				|21.07.18 Cwrwi	Added												
211	= "Pyreneau"					#Pirineo				|21.07.18 Cwrwi	Added												
233	= "Dyfnaint"					#Devon					|20.07.18 Cwrwi	Checked												
234	= "Swydd Caer-wynt"				#Hampshire				|20.07.18 Cwrwi	Changed from Wenta												
235	= "Caint"						#Kent					|20.07.18 Cwrwi	Checked												
236	= "Llundain"					#London					|20.07.18 Cwrwi	Corrected spelling												
237	= "Swydd Rhydychen"				#Oxfordshire			|20.07.18 Cwrwi	Changed from Catuwerlon which is totally made up. Alternative would be "Rhydychen"- ie Oxford, rather than Oxfordshire.												
238	= "Caercolyn"					#Essex					|21.07.18 Cwrwi	Colchester in Welsh. Changed from Camulodunon (Latin name, n/a to Welsh)												
239	= "Caerloyw"					#Gloucester				|21.07.18 Cwrwi	Checked												
240	= "Swydd Amwythig"				#The Marches			|21.07.18 Cwrwi	Shropshire. Alternative is "Amwythig"- Shrewsbury. Changed from "Mers".												
241	= "Morgannwg"					#Glamorgan				|21.07.18 Cwrwi	Welsh version												
242	= "Gwynedd"						#Gwynedd				|21.07.18 Cwrwi	Checked												
243	= "Lyncwn"						#Lincoln				|21.07.18 Cwrwi	Cambrification of Lincoln- no Welsh name exists. Changed from Latin "Lindum"												
244	= "Caerhirfryn"					#Lancaster				|21.07.18 Cwrwi	Undid inappropriate mutation Gaerhirfryn>Caerhirfryn												
245	= "Efrog"						#York					|21.07.18 Cwrwi	Checked												
246	= "Brynaich"					#Northumberland			|21.07.18 Cwrwi	Checked												
247	= "Rheged"						#Cumbria				|21.07.18 Cwrwi	Checked												
248	= "Caeredin"					#Lothian				|21.07.18 Cwrwi	Changed from "Lodainn" which is Scots Gaelic, to Caeredin, which is Welsh for Edinburgh. Alternative "Lleuddiniawn" (Lothian in Welsh), but this displays less well.												
